id,bucket,title,artist,year,source,sourceId,license,figurePresence,backgroundFit,energyRange,imagePath,backgroundImagePath,sourceUrl,curatorNote
luminist_air-met-11307,luminist_air,"Eaton’s Neck, Long Island",John Frederick Kensett,1872,met,11307,Public Domain,none,0.93,"[0.05, 0.5]",/artworks/luminist_air/met-11307-eatons-neck-long-island.jpg,/background_ready/luminist_air/met-11307-eatons-neck-long-island-bg.jpg,https://www.metmuseum.org/art/collection/search/11307,"Almost no event, just air and water; ideal as a low-energy field behind waveform UI."
luminist_air-met-11309,luminist_air,Gathering Storm on Long Island Sound,John Frederick Kensett,1872,met,11309,Public Domain,none,0.82,"[0.2, 0.68]",/artworks/luminist_air/met-11309-gathering-storm-long-island-sound.jpg,/background_ready/luminist_air/met-11309-gathering-storm-long-island-sound-bg.jpg,https://www.metmuseum.org/art/collection/search/11309,A darker Kensett for rainy low-energy tracks and suspended tension.
luminist_air-met-11311,luminist_air,Lake George,John Frederick Kensett,1869,met,11311,Public Domain,none,0.91,"[0.08, 0.55]",/artworks/luminist_air/met-11311-lake-george.jpg,/background_ready/luminist_air/met-11311-lake-george-bg.jpg,https://www.metmuseum.org/art/collection/search/11311,Broad lake air and mountain haze; a quiet sleeve field for low-energy pieces.
luminist_air-met-11314,luminist_air,"Lake George, Free Study",John Frederick Kensett,1872,met,11314,Public Domain,tiny,0.9,"[0.08, 0.52]",/artworks/luminist_air/met-11314-lake-george-free-study.jpg,/background_ready/luminist_air/met-11314-lake-george-free-study-bg.jpg,https://www.metmuseum.org/art/collection/search/11314,A spare lake study with enough openness to sit behind title and waveform.
luminist_air-met-11315,luminist_air,"Lake George, New York",John Frederick Kensett,1872,met,11315,Public Domain,none,0.86,"[0.05, 0.45]",/artworks/luminist_air/met-11315-lake-george-new-york.jpg,/background_ready/luminist_air/met-11315-lake-george-new-york-bg.jpg,https://www.metmuseum.org/art/collection/search/11315,Nearly monochrome lake air; very usable when the song wants low emotional pressure.
luminist_air-met-11325,luminist_air,Sunset on the Sea,John Frederick Kensett,1872,met,11325,Public Domain,none,0.94,"[0.08, 0.58]",/artworks/luminist_air/met-11325-sunset-on-the-sea.jpg,/background_ready/luminist_air/met-11325-sunset-on-the-sea-bg.jpg,https://www.metmuseum.org/art/collection/search/11325,"A pure horizon field: almost nothing happens, which is why it works."
sublime_terrain-manual-saam-1967.136.7,sublime_terrain,Alaskan Coast Range,Albert Bierstadt,1889,manual,saam-1967.136.7,Public Domain,none,0.83,"[0.42, 0.95]",/artworks/sublime_terrain/saam-1967-136-7-alaskan-coast-range.jpg,/background_ready/sublime_terrain/saam-1967-136-7-alaskan-coast-range-bg.jpg,https://americanart.si.edu/artwork/alaskan-coast-range-2058,A small song set against huge terrain; the core Cursor-like “interface before history” feeling.
sublime_terrain-met-10154,sublime_terrain,"The Rocky Mountains, Lander’s Peak",Albert Bierstadt,1863,met,10154,Public Domain,tiny,0.74,"[0.5, 0.98]",/artworks/sublime_terrain/met-10154-rocky-mountains-landers-peak.jpg,/background_ready/sublime_terrain/met-10154-rocky-mountains-landers-peak-bg.jpg,https://www.metmuseum.org/art/collection/search/10154,"Canonical and bold, so use sparingly; strong for cinematic peaks and high-energy orchestral outputs."
sublime_terrain-met-10481,sublime_terrain,Heart of the Andes,Frederic Edwin Church,1859,met,10481,Public Domain,tiny,0.76,"[0.48, 0.98]",/artworks/sublime_terrain/met-10481-heart-of-the-andes.jpg,/background_ready/sublime_terrain/met-10481-heart-of-the-andes-bg.jpg,https://www.metmuseum.org/art/collection/search/10481,Dense but vast; good for songs that need expedition-scale lift without a modern fantasy look.
sublime_terrain-met-10480,sublime_terrain,The Aegean Sea,Frederic Edwin Church,ca. 1877,met,10480,Public Domain,tiny,0.8,"[0.38, 0.88]",/artworks/sublime_terrain/met-10480-aegean-sea.jpg,/background_ready/sublime_terrain/met-10480-aegean-sea-bg.jpg,https://www.metmuseum.org/art/collection/search/10480,"Ancient weather, sea, and scale; a softer sublime field than the mountain panoramas."
sublime_terrain-met-10482,sublime_terrain,The Parthenon,Frederic Edwin Church,1871,met,10482,Public Domain,tiny,0.7,"[0.35, 0.85]",/artworks/sublime_terrain/met-10482-parthenon.jpg,/background_ready/sublime_terrain/met-10482-parthenon-bg.jpg,https://www.metmuseum.org/art/collection/search/10482,"A historical sublime rather than a wilderness sublime; useful for solemn, luminous cinematic pieces."
sublime_terrain-met-12800,sublime_terrain,The Belated Party on Mansfield Mountain,Jerome B. Thompson,1858,met,12800,Public Domain,ambient,0.69,"[0.3, 0.72]",/artworks/sublime_terrain/met-12800-belated-party-mansfield-mountain.jpg,/background_ready/sublime_terrain/met-12800-belated-party-mansfield-mountain-bg.jpg,https://www.metmuseum.org/art/collection/search/12800,More human than the other sublime pieces; useful for songs with folk memory inside a large landscape.
sublime_terrain-met-10497,sublime_terrain,"View from Mount Holyoke, Northampton, Massachusetts, after a Thunderstorm—The Oxbow",Thomas Cole,1836,met,10497,Public Domain,tiny,0.78,"[0.45, 0.95]",/artworks/sublime_terrain/met-10497-oxbow.jpg,/background_ready/sublime_terrain/met-10497-oxbow-bg.jpg,https://www.metmuseum.org/art/collection/search/10497,A weather-split terrain: huge enough for cinematic arcs without becoming a character portrait.
tidal_mineral-manual-signac-venice-pink-cloud-1909,tidal_mineral,"Venice, The Pink Cloud",Paul Signac,1909,manual,signac-venice-pink-cloud-1909,Public Domain,tiny,0.82,"[0.28, 0.78]",/artworks/tidal_mineral/manual-signac-venice-pink-cloud-1909.jpg,/background_ready/tidal_mineral/manual-signac-venice-pink-cloud-1909-bg.jpg,"https://commons.wikimedia.org/wiki/File:Paul_Signac_-_Venice,_The_Pink_Cloud,_1909_-_Google_Art_Project.jpg","A dotted field of water and warm air; bright enough for motion, still restrained as a sleeve."
